response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.3957,0.7648,0.0197,0.0001,0.6272,0.0034,200,0.0096
1.4040,0.7668,0.0191,0.0002,0.6302,0.0037,200,0.0072
1.4100,0.7727,0.0196,0.0002,0.6308,0.0040,200,0.0072
1.4156,0.7788,0.0212,0.0002,0.6322,0.0031,200,0.0071
1.4211,0.7822,0.0216,0.0002,0.6334,0.0033,200,0.0073
1.4240,0.7775,0.0184,0.0001,0.6424,0.0040,200,0.0105
1.4324,0.7796,0.0209,0.0001,0.6488,0.0035,200,0.0078
1.4369,0.7791,0.0186,0.0002,0.6524,0.0050,200,0.0102
1.4428,0.7861,0.0202,0.0001,0.6519,0.0045,200,0.0100
1.4478,0.7831,0.0193,0.0001,0.6611,0.0034,200,0.0104
1.4567,0.7904,0.0217,0.0001,0.6602,0.0044,200,0.0074
1.4670,0.7809,0.0176,0.0001,0.6758,0.0063,200,0.0072
1.4685,0.7881,0.0191,0.0001,0.6701,0.0069,200,0.0072
1.4726,0.7946,0.0213,0.0001,0.6748,0.0029,200,0.0084
1.4790,0.7994,0.0203,0.0001,0.6734,0.0033,200,0.0072
1.4852,0.7961,0.0195,0.0001,0.6816,0.0040,200,0.0072
1.4953,0.8039,0.0214,0.0001,0.6808,0.0085,200,0.0073
1.4963,0.7985,0.0207,0.0001,0.6909,0.0063,200,0.0078
1.5021,0.8056,0.0220,0.0001,0.6910,0.0036,200,0.0072
1.5123,0.8045,0.0200,0.0001,0.6995,0.0057,200,0.0073
1.5118,0.7964,0.0192,0.0001,0.7091,0.0061,200,0.0094
1.5197,0.8028,0.0210,0.0001,0.7121,0.0043,200,0.0079
1.5236,0.8114,0.0220,0.0001,0.7088,0.0032,200,0.0085
1.5308,0.8194,0.0219,0.0001,0.7062,0.0034,200,0.0073
1.5395,0.8161,0.0198,0.0001,0.7146,0.0059,200,0.0072
1.5417,0.8203,0.0214,0.0001,0.7170,0.0040,200,0.0091
1.5491,0.8279,0.0218,0.0001,0.7149,0.0040,200,0.0072
1.5598,0.8208,0.0194,0.0001,0.7290,0.0062,200,0.0072
1.5608,0.8328,0.0224,0.0001,0.7212,0.0054,200,0.0073
1.5624,0.8266,0.0192,0.0000,0.7321,0.0035,200,0.0107
1.5714,0.8346,0.0204,0.0001,0.7303,0.0036,200,0.0073
1.5806,0.8412,0.0222,0.0001,0.7324,0.0069,200,0.0086
1.5829,0.8243,0.0184,0.0001,0.7508,0.0042,200,0.0072
1.5930,0.8320,0.0188,0.0001,0.7520,0.0054,200,0.0072
1.5956,0.8306,0.0189,0.0001,0.7572,0.0041,200,0.0072
1.6031,0.8437,0.0227,0.0001,0.7546,0.0047,200,0.0087
1.6073,0.8321,0.0195,0.0001,0.7652,0.0066,200,0.0072
1.6114,0.8440,0.0201,0.0001,0.7621,0.0052,200,0.0099
1.6181,0.8474,0.0205,0.0000,0.7643,0.0034,200,0.0072
1.6220,0.8510,0.0226,0.0001,0.7677,0.0032,200,0.0087
1.6292,0.8522,0.0215,0.0000,0.7725,0.0031,200,0.0072
1.6352,0.8554,0.0223,0.0001,0.7748,0.0035,200,0.0074
1.6420,0.8586,0.0218,0.0001,0.7777,0.0057,200,0.0085
1.6470,0.7638,0.0189,0.0003,0.8763,0.0037,200,0.0073
1.6533,0.8603,0.0223,0.0001,0.7873,0.0040,200,0.0073
1.6622,0.7635,0.0215,0.0004,0.8923,0.0058,200,0.0084
1.6639,0.8642,0.0204,0.0000,0.7927,0.0042,200,0.0074
1.6702,0.7658,0.0196,0.0002,0.8988,0.0032,200,0.0073
1.6749,0.8725,0.0219,0.0001,0.7984,0.0037,200,0.0089
0.2946,0.0000,0.0000,0.0000,0.2904,0.0041,200,1.4053
1.6917,0.8732,0.0225,0.0000,0.8032,0.0151,200,0.0088
0.3008,0.0000,0.0000,0.0000,0.2972,0.0035,200,1.4112
0.3067,0.0000,0.0000,0.0000,0.3033,0.0033,200,1.4172
0.3126,0.0000,0.0000,0.0000,0.3091,0.0034,200,1.4227
0.3175,0.0000,0.0000,0.0000,0.3148,0.0024,200,1.4285
0.3179,0.0000,0.0000,0.0000,0.3144,0.0034,200,1.4345
0.3192,0.0000,0.0000,0.0000,0.3165,0.0026,200,1.4402
0.3133,0.0000,0.0000,0.0000,0.3109,0.0023,200,1.4528
0.3259,0.0000,0.0000,0.0000,0.3231,0.0028,200,1.4471
0.3214,0.0000,0.0000,0.0000,0.3190,0.0023,200,1.4582
0.3219,0.0000,0.0000,0.0000,0.3186,0.0032,200,1.4640
0.3171,0.0000,0.0000,0.0000,0.3147,0.0023,200,1.4757
0.3253,0.0000,0.0000,0.0000,0.3230,0.0022,200,1.4742
0.3247,0.0000,0.0000,0.0001,0.3219,0.0026,200,1.4862
0.3321,0.0000,0.0000,0.0000,0.3299,0.0020,200,1.4809
0.3273,0.0000,0.0000,0.0001,0.3247,0.0025,200,1.4924
0.3238,0.0000,0.0000,0.0000,0.3210,0.0021,200,1.5026
0.3237,0.0000,0.0000,0.0000,0.3204,0.0032,200,1.5093
0.3360,0.0000,0.0000,0.0000,0.3333,0.0026,200,1.5041
0.3268,0.0000,0.0000,0.0001,0.3235,0.0032,200,1.5197
0.3325,0.0000,0.0000,0.0001,0.3287,0.0036,200,1.5212
0.3354,0.0000,0.0000,0.0001,0.3310,0.0042,200,1.5276
0.3346,0.0000,0.0000,0.0000,0.3313,0.0032,200,1.5321
0.3354,0.0000,0.0000,0.0000,0.3330,0.0023,200,1.5381
0.3346,0.0000,0.0000,0.0001,0.3301,0.0044,200,1.5467
0.3361,0.0000,0.0000,0.0000,0.3340,0.0020,200,1.5508
0.3380,0.0000,0.0000,0.0000,0.3351,0.0028,200,1.5562
0.3328,0.0000,0.0000,0.0000,0.3288,0.0039,200,1.5681
0.3427,0.0000,0.0000,0.0000,0.3365,0.0059,200,1.5670
0.3408,0.0000,0.0000,0.0000,0.3384,0.0022,200,1.5731
0.3417,0.0000,0.0000,0.0000,0.3395,0.0022,200,1.5788
0.3382,0.0000,0.0000,0.0000,0.3352,0.0030,200,1.5892
0.3443,0.0000,0.0000,0.0000,0.3418,0.0024,200,1.5901
0.3420,0.0000,0.0000,0.0000,0.3397,0.0022,200,1.6028
0.3477,0.0000,0.0000,0.0001,0.3390,0.0084,200,1.6002
0.3429,0.0000,0.0000,0.0000,0.3402,0.0025,200,1.6118
0.3464,0.0000,0.0000,0.0001,0.3442,0.0021,200,1.6145
0.3471,0.0000,0.0000,0.0000,0.3440,0.0031,200,1.6213
0.3501,0.0000,0.0000,0.0000,0.3472,0.0028,200,1.6253
0.3504,0.0000,0.0000,0.0000,0.3485,0.0018,200,1.6307
0.3342,0.0000,0.0000,0.0001,0.3320,0.0021,200,1.6543
0.3584,0.0000,0.0000,0.0000,0.3559,0.0024,200,1.6364
0.3588,0.0000,0.0000,0.0000,0.3553,0.0033,200,1.6426
0.3577,0.0000,0.0000,0.0000,0.3554,0.0022,200,1.6505
0.3447,0.0000,0.0000,0.0000,0.3420,0.0027,200,1.6706
